2017	The Last Word	the-last-word-2017	2017-05-27 21:29:07	https.//palomitas.com/películas/the-last-word-2017.jpg	Carátula_pequeña
1945	The Vampire's Ghost	the-vampires-ghost-1945	2021-12-19 03:18:18	https.//foro_pelis.es/carátulasthe-vampires-ghost-1945.jpg	Poster
1974	Da di long zhong	da-di-long-zhong-1974	2020-12-22 16:35:51	https.//cinemanía.com/imágenes/da-di-long-zhong-1974.jpg	Poster
2018	American Animals	american-animals-2018	2018-08-18 04:01:17	https.//cinemanía.com/imágenes/american-animals-2018.jpg	Carátula_mediana
2019	The Giant	the-giant-2019	2020-11-15 11:41:03	https.//moviemania/covers/the-giant-2019.jpg	Carátula_pequeña
2003	Flesh for the Beast	flesh-for-the-beast-2003	2022-06-01 07:16:34	https.//Pelis_y_series/imágenes/flesh-for-the-beast-2003.jpg	Carátula_grande
2019	Enemy Within	enemy-within-2019	2019-08-13 05:19:05	https.//foro_pelis.es/carátulasenemy-within-2019.jpg	Carátula_grande
1960	Bells Are Ringing	bells-are-ringing-1960	2022-07-05 21:45:29	https.//foro_pelis.es/carátulasbells-are-ringing-1960.jpg	Poster
2016	Bonaparte: The Egyptian Campaign	bonaparte-the-egyptian-campaign-2016	2021-03-22 16:44:01	https.//cinemanía.com/imágenes/bonaparte-the-egyptian-campaign-2016.jpg	Poster
2020	You're Bacon Me Crazy	youre-bacon-me-crazy-2020	2020-09-06 23:17:30	https.//forummovies.org/covers/youre-bacon-me-crazy-2020.jpg	Carátula_mediana
1990	Dances with Wolves	dances-with-wolves-1990	2015-10-31 22:43:28	https.//Pelis_y_series/imágenes/dances-with-wolves-1990.jpg	Carátula_pequeña
2010	Westall '66: A Suburban UFO Mystery	westall-66-a-suburban-ufo-mystery-2010	2021-06-05 21:19:26	https.//foro_pelis.es/carátulaswestall-66-a-suburban-ufo-mystery-2010.jpg	Carátula_mediana
2017	The Good Catholic	the-good-catholic-2017	2017-11-04 17:39:22	https.//Pelis_y_series/imágenes/the-good-catholic-2017.jpg	Poster
2022	Clowning	clowning-2022	2022-03-15 05:46:55	https.//moviemania/covers/clowning-2022.jpg	Carátula_grande
